N,m,fm,hmm,hMM,emm,eMM,emM,eMm
1000,2,0.33,0.0,0.0,0.0,0.0,0.6676737160120846,0.3323262839879154
1000,2,0.4,0.0,0.0,0.0,0.0,0.5971802618328298,0.4028197381671702
1000,2,0.49,0.0,0.0,0.0,0.0,0.5100300902708125,0.4899699097291876
1000,2,0.15,0.0,0.0,0.0,0.0,0.8476383951244286,0.15236160487557135
1000,2,0.33,0.0,0.01,0.0,0.00250501002004008,0.6668336673346693,0.3306613226452906
1000,2,0.4,0.0,0.01,0.0,0.009523809523809525,0.5909774436090226,0.3994987468671679
1000,2,0.49,0.0,0.01,0.0,0.008016032064128256,0.5020040080160321,0.48997995991983967
1000,2,0.15,0.0,0.01,0.0,0.014028056112224449,0.8356713426853707,0.15030060120240482
1000,2,0.33,0.0,0.02,0.0,0.014028056112224449,0.656312625250501,0.32965931863727455
1000,2,0.4,0.0,0.02,0.0,0.017042606516290727,0.5834586466165413,0.3994987468671679
1000,2,0.49,0.0,0.02,0.0,0.01753507014028056,0.4924849699398798,0.48997995991983967
1000,2,0.15,0.0,0.02,0.0,0.03256513026052104,0.8171342685370742,0.15030060120240482
1000,2,0.33,0.0,0.03,0.0,0.02555110220440882,0.6437875751503006,0.3306613226452906
1000,2,0.4,0.0,0.03,0.0,0.03557114228456914,0.5636272545090181,0.40080160320641284
1000,2,0.49,0.0,0.03,0.0,0.017561465127947817,0.4932262920220773,0.4892122428499749
1000,2,0.15,0.0,0.03,0.0,0.048597194388777555,0.8011022044088176,0.15030060120240482
1000,2,0.33,0.0,0.04,0.0,0.03156312625250501,0.6387775551102205,0.32965931863727455
1000,2,0.4,0.0,0.04,0.0,0.02154308617234469,0.5786573146292585,0.3997995991983968
1000,2,0.49,0.0,0.04,0.0,0.017543859649122806,0.49273182957393485,0.48972431077694234
1000,2,0.15,0.0,0.04,0.0,0.03657314629258517,0.81312625250501,0.15030060120240482
1000,2,0.33,0.0,0.05,0.0,0.03907815631262525,0.6312625250501002,0.32965931863727455
1000,2,0.4,0.0,0.05,0.0,0.032160804020100506,0.5708542713567839,0.3969849246231156
1000,2,0.49,0.0,0.05,0.0,0.03009027081243731,0.48144433299899697,0.4884653961885657
1000,2,0.15,0.0,0.05,0.0,0.11072144288577154,0.7389779559118237,0.15030060120240482
1000,2,0.33,0.0,0.06,0.0,0.050100200400801605,0.6192384769539078,0.3306613226452906
1000,2,0.4,0.0,0.06,0.0,0.0435871743486974,0.5556112224448898,0.40080160320641284
1000,2,0.49,0.0,0.06,0.0,0.03256513026052104,0.47645290581162325,0.4909819639278557
